                              1

1500538080: 4.0896666667e+00
1500538140: 4.6073333333e+00
1500538200: 5.1430000000e+00
1500538260: 5.3490000000e+00
1500538320: 5.5183333333e+00
1500538380: 5.6290000000e+00
1500538440: 5.6526666667e+00
1500538500: 5.6473333333e+00
1500538560: 5.8426666667e+00
1500538620: 6.0550000000e+00
1500538680: 6.2493333333e+00
1500538740: 6.4123333333e+00
1500538800: 6.4536666667e+00
1500538860: 6.3423333333e+00
1500538920: 6.5396666667e+00
1500538980: 6.9496666667e+00
1500539040: 7.1380000000e+00
1500539100: 7.2613333333e+00
1500539160: 7.3390000000e+00
1500539220: 7.5906666667e+00
1500539280: 7.7616666667e+00
1500539340: 7.7040000000e+00
1500539400: 7.5966666667e+00
1500539460: 7.7500000000e+00
1500539520: 7.9676666667e+00
1500539580: 7.9413333333e+00
1500539640: 7.9026666667e+00
1500539700: 7.9290000000e+00
1500539760: 8.0603333333e+00
1500539820: 8.0096666667e+00
1500539880: 7.8703333333e+00
1500539940: 8.1910000000e+00
1500540000: 8.5013333333e+00
1500540060: 8.6486666667e+00
1500540120: 8.7000000000e+00
1500540180: 8.6810000000e+00
1500540240: 8.7460000000e+00
1500540300: 8.7330000000e+00
1500540360: 8.5226666667e+00
1500540420: 8.2553333333e+00
1500540480: 8.5146666667e+00
1500540540: 8.7693333333e+00
1500540600: 8.7810000000e+00
1500540660: 8.6528333333e+00
1500540720: 8.7403333333e+00
1500540780: 9.0046666667e+00
1500540840: 9.2646666667e+00
1500540900: 9.4233333333e+00
1500540960: 9.3270000000e+00
1500541020: 9.3830000000e+00
1500541080: 9.3713333333e+00
1500541140: 9.3896666667e+00
1500541200: 9.4173333333e+00
1500541260: 9.3023333333e+00
1500541320: 9.0310000000e+00
1500541380: 8.7960000000e+00
1500541440: 8.9073333333e+00
1500541500: 9.2380000000e+00
1500541560: 9.2496666667e+00
1500541620: 9.2750000000e+00
1500541680: 9.2096666667e+00
1500541740: 9.0766666667e+00
1500541800: 8.9576666667e+00
1500541860: 8.7136666667e+00
1500541920: 8.7076666667e+00
1500541980: 8.7763333333e+00
1500542040: 8.9193333333e+00
1500542100: 9.1330000000e+00
1500542160: 9.1023333333e+00
1500542220: 9.2236666667e+00
1500542280: 9.2603333333e+00
1500542340: 9.2833333333e+00
1500542400: 9.4783333333e+00
1500542460: 9.7093333333e+00
1500542520: 9.5176666667e+00
1500542580: 9.3473333333e+00
1500542640: 9.2956666667e+00
1500542700: 9.3713333333e+00
1500542760: 9.3793333333e+00
1500542820: 9.2360000000e+00
1500542880: 9.1256666667e+00
1500542940: 9.1316666667e+00
1500543000: 9.2070000000e+00
1500543060: 9.4870000000e+00
1500543120: 9.5160000000e+00
1500543180: 9.2346666667e+00
1500543240: 9.0150000000e+00
1500543300: 8.7573333333e+00
1500543360: 8.5386666667e+00
1500543420: 8.4863333333e+00
1500543480: 8.4836666667e+00
1500543540: 8.6256666667e+00
1500543600: 8.8873333333e+00
1500543660: 8.7620000000e+00
1500543720: 8.6110000000e+00
1500543780: -nan
1500543840: -nan
1500543900: -nan
1500543960: -nan
1500544020: -nan
1500544080: -nan
1500544140: -nan
1500544200: -nan
1500544260: -nan
1500544320: -nan
1500544380: -nan
1500544440: -nan
1500544500: -nan
1500544560: -nan
1500544620: -nan
1500544680: -nan
1500544740: -nan
1500544800: -nan
1500544860: -nan
1500544920: -nan
1500544980: -nan
1500545040: -nan
1500545100: -nan
1500545160: -nan
1500545220: -nan
1500545280: -nan
