                              1

1500538080: 4.2670000000e+00
1500538140: 4.3538333333e+00
1500538200: 4.6566666667e+00
1500538260: 5.0345000000e+00
1500538320: 5.2141666667e+00
1500538380: 5.1968333333e+00
1500538440: 5.4186666667e+00
1500538500: 5.6031666667e+00
1500538560: 5.9848333333e+00
1500538620: 6.4058333333e+00
1500538680: 6.4535000000e+00
1500538740: 6.4776666667e+00
1500538800: 6.4401666667e+00
1500538860: 6.3203333333e+00
1500538920: 6.5990000000e+00
1500538980: 7.0073333333e+00
1500539040: 7.2981666667e+00
1500539100: 7.3635000000e+00
1500539160: 7.3736666667e+00
1500539220: 7.3130000000e+00
1500539280: 7.7806666667e+00
1500539340: 7.6808333333e+00
1500539400: 7.5043333333e+00
1500539460: 7.8260000000e+00
1500539520: 7.7620000000e+00
1500539580: 8.0893333333e+00
1500539640: 8.1541666667e+00
1500539700: 8.1345000000e+00
1500539760: 8.3258333333e+00
1500539820: 8.3420000000e+00
1500539880: 8.1475000000e+00
1500539940: 8.3243333333e+00
1500540000: 8.6740000000e+00
1500540060: 8.8115000000e+00
1500540120: 9.0570000000e+00
1500540180: 9.1205000000e+00
1500540240: 9.1953333333e+00
1500540300: 9.1366666667e+00
1500540360: 8.9378333333e+00
1500540420: 8.8120000000e+00
1500540480: 9.1288333333e+00
1500540540: 9.1025000000e+00
1500540600: 8.9793333333e+00
1500540660: 9.0453333333e+00
1500540720: 9.0170000000e+00
1500540780: 9.0816666667e+00
1500540840: 9.2143333333e+00
1500540900: 9.5243333333e+00
1500540960: 9.3556666667e+00
1500541020: 9.5476666667e+00
1500541080: 9.5288333333e+00
1500541140: 9.5141666667e+00
1500541200: 9.4560000000e+00
1500541260: 9.3091666667e+00
1500541320: 8.9626666667e+00
1500541380: 8.7010000000e+00
1500541440: 8.9031666667e+00
1500541500: 9.2941666667e+00
1500541560: 9.7835000000e+00
1500541620: 9.7971666667e+00
1500541680: 9.6685000000e+00
1500541740: 9.4311666667e+00
1500541800: 9.4038333333e+00
1500541860: 9.1440000000e+00
1500541920: 9.2570000000e+00
1500541980: 9.2901666667e+00
1500542040: 9.1411666667e+00
1500542100: 9.1348333333e+00
1500542160: 9.0223333333e+00
1500542220: 9.0283333333e+00
1500542280: 8.9551666667e+00
1500542340: 9.0933333333e+00
1500542400: 9.2758333333e+00
1500542460: 9.3386666667e+00
1500542520: 9.4870000000e+00
1500542580: 9.5633333333e+00
1500542640: 9.7890000000e+00
1500542700: 1.0144833333e+01
1500542760: 1.0000833333e+01
1500542820: 9.7683333333e+00
1500542880: 9.6695000000e+00
1500542940: 9.5748333333e+00
1500543000: 9.4775000000e+00
1500543060: 9.6181666667e+00
1500543120: 9.7068333333e+00
1500543180: -nan
1500543240: -nan
1500543300: -nan
1500543360: -nan
1500543420: -nan
1500543480: -nan
1500543540: -nan
1500543600: -nan
1500543660: -nan
1500543720: -nan
1500543780: -nan
1500543840: -nan
1500543900: -nan
1500543960: -nan
1500544020: -nan
1500544080: -nan
1500544140: -nan
1500544200: -nan
1500544260: -nan
1500544320: -nan
1500544380: -nan
1500544440: -nan
1500544500: -nan
1500544560: -nan
1500544620: -nan
1500544680: -nan
1500544740: -nan
1500544800: -nan
1500544860: -nan
1500544920: -nan
1500544980: -nan
1500545040: -nan
1500545100: -nan
1500545160: -nan
1500545220: -nan
1500545280: -nan
