                              1

1500538080: 6.0795000000e+00
1500538140: 6.3840000000e+00
1500538200: 6.7700000000e+00
1500538260: 7.1885000000e+00
1500538320: 7.6833333333e+00
1500538380: 8.3480000000e+00
1500538440: 8.7645000000e+00
1500538500: 9.0070000000e+00
1500538560: 9.2695000000e+00
1500538620: 1.0279000000e+01
1500538680: 1.1087500000e+01
1500538740: 1.1472000000e+01
1500538800: 1.1511500000e+01
1500538860: 1.1756500000e+01
1500538920: 1.2038000000e+01
1500538980: 1.2207500000e+01
1500539040: 1.2272500000e+01
1500539100: 1.2339500000e+01
1500539160: 1.2231000000e+01
1500539220: 1.2388500000e+01
1500539280: 1.2632500000e+01
1500539340: 1.2933500000e+01
1500539400: 1.3218000000e+01
1500539460: 1.3430000000e+01
1500539520: 1.3366500000e+01
1500539580: 1.3545500000e+01
1500539640: 1.3325000000e+01
1500539700: 1.3203500000e+01
1500539760: 1.3385500000e+01
1500539820: 1.3445500000e+01
1500539880: 1.3747500000e+01
1500539940: 1.3978500000e+01
1500540000: 1.4044000000e+01
1500540060: 1.3982000000e+01
1500540120: 1.4046500000e+01
1500540180: 1.4043000000e+01
1500540240: 1.3700000000e+01
1500540300: 1.3691000000e+01
1500540360: 1.3929500000e+01
1500540420: 1.3944500000e+01
1500540480: 1.4101500000e+01
1500540540: 1.4164000000e+01
1500540600: 1.4136000000e+01
1500540660: 1.4249000000e+01
1500540720: 1.4329500000e+01
1500540780: 1.4595000000e+01
1500540840: 1.4946000000e+01
1500540900: 1.4872500000e+01
1500540960: 1.4790500000e+01
1500541020: 1.4584500000e+01
1500541080: 1.4371500000e+01
1500541140: 1.4263500000e+01
1500541200: 1.4207500000e+01
1500541260: 1.3970500000e+01
1500541320: 1.3904500000e+01
1500541380: 1.4027500000e+01
1500541440: 1.4152000000e+01
1500541500: 1.4527000000e+01
1500541560: 1.4743000000e+01
1500541620: 1.4795500000e+01
1500541680: 1.4876500000e+01
1500541740: 1.4771000000e+01
1500541800: 1.4682000000e+01
1500541860: 1.4865500000e+01
1500541920: 1.5010500000e+01
1500541980: 1.4860000000e+01
1500542040: 1.4957500000e+01
1500542100: 1.4691000000e+01
1500542160: 1.4368000000e+01
1500542220: 1.4328500000e+01
1500542280: 1.4279000000e+01
1500542340: 1.4355000000e+01
1500542400: 1.4455000000e+01
1500542460: 1.4470000000e+01
1500542520: 1.4308500000e+01
1500542580: 1.4195000000e+01
1500542640: 1.4214000000e+01
1500542700: 1.4398500000e+01
1500542760: 1.4931500000e+01
1500542820: 1.5139000000e+01
1500542880: 1.5236500000e+01
1500542940: 1.5394500000e+01
1500543000: 1.5428500000e+01
1500543060: 1.5668000000e+01
1500543120: 1.5523000000e+01
1500543180: 1.5702500000e+01
1500543240: 1.5944000000e+01
1500543300: 1.5759000000e+01
1500543360: 1.5694500000e+01
1500543420: 1.5681500000e+01
1500543480: 1.5255000000e+01
1500543540: 1.5358500000e+01
1500543600: 1.5313500000e+01
1500543660: 1.5240500000e+01
1500543720: 1.5357500000e+01
1500543780: 1.5473500000e+01
1500543840: 1.5396500000e+01
1500543900: -nan
1500543960: -nan
1500544020: -nan
1500544080: -nan
1500544140: -nan
1500544200: -nan
1500544260: -nan
1500544320: -nan
1500544380: -nan
1500544440: -nan
1500544500: -nan
1500544560: -nan
1500544620: -nan
1500544680: -nan
1500544740: -nan
1500544800: -nan
1500544860: -nan
1500544920: -nan
1500544980: -nan
1500545040: -nan
1500545100: -nan
1500545160: -nan
1500545220: -nan
1500545280: -nan
