                              1

1500538080: 5.5333333333e+00
1500538140: 6.2206666667e+00
1500538200: 6.6473333333e+00
1500538260: 6.6803333333e+00
1500538320: 6.9566666667e+00
1500538380: 7.3426666667e+00
1500538440: 7.5993333333e+00
1500538500: 7.7243333333e+00
1500538560: 7.9083333333e+00
1500538620: 8.1773333333e+00
1500538680: 8.4193333333e+00
1500538740: 8.6520000000e+00
1500538800: 8.7716666667e+00
1500538860: 8.7140000000e+00
1500538920: 8.8030000000e+00
1500538980: 9.0510000000e+00
1500539040: 9.0866666667e+00
1500539100: 9.0500000000e+00
1500539160: 9.0310000000e+00
1500539220: 9.1403333333e+00
1500539280: 9.2796666667e+00
1500539340: 9.2566666667e+00
1500539400: 9.5176666667e+00
1500539460: 9.9243333333e+00
1500539520: 1.0231000000e+01
1500539580: 1.0165333333e+01
1500539640: 1.0025666667e+01
1500539700: 1.0006333333e+01
1500539760: 9.9276666667e+00
1500539820: 9.7976666667e+00
1500539880: 9.8386666667e+00
1500539940: 9.7633333333e+00
1500540000: 9.9053333333e+00
1500540060: 1.0106000000e+01
1500540120: 1.0283000000e+01
1500540180: 1.0366333333e+01
1500540240: 1.0268666667e+01
1500540300: 1.0172000000e+01
1500540360: 1.0276666667e+01
1500540420: 1.0394333333e+01
1500540480: 1.0394666667e+01
1500540540: 1.0552666667e+01
1500540600: 1.0596666667e+01
1500540660: 1.0515666667e+01
1500540720: 1.0551666667e+01
1500540780: 1.0704000000e+01
1500540840: 1.0567333333e+01
1500540900: 1.0329666667e+01
1500540960: 1.0260000000e+01
1500541020: 1.0424666667e+01
1500541080: 1.0526333333e+01
1500541140: 1.0599666667e+01
1500541200: 1.0684333333e+01
1500541260: 1.0463333333e+01
1500541320: 1.0196000000e+01
1500541380: 1.0066666667e+01
1500541440: 9.9286666667e+00
1500541500: 1.0186666667e+01
1500541560: 1.0408000000e+01
1500541620: 1.0575666667e+01
1500541680: 1.0514333333e+01
1500541740: 1.0271666667e+01
1500541800: 9.9203333333e+00
1500541860: 9.9980000000e+00
1500541920: 1.0168000000e+01
1500541980: 1.0133000000e+01
1500542040: 1.0315333333e+01
1500542100: 1.0490666667e+01
1500542160: 1.0450333333e+01
1500542220: 1.0378333333e+01
1500542280: 1.0290333333e+01
1500542340: 1.0275333333e+01
1500542400: 1.0258333333e+01
1500542460: 1.0221000000e+01
1500542520: 1.0286000000e+01
1500542580: 1.0488333333e+01
1500542640: 1.0453333333e+01
1500542700: 1.0570000000e+01
1500542760: 1.0838333333e+01
1500542820: 1.0784333333e+01
1500542880: -nan
1500542940: -nan
1500543000: -nan
1500543060: -nan
1500543120: -nan
1500543180: -nan
1500543240: -nan
1500543300: -nan
1500543360: -nan
1500543420: -nan
1500543480: -nan
1500543540: -nan
1500543600: -nan
1500543660: -nan
1500543720: -nan
1500543780: -nan
1500543840: -nan
1500543900: -nan
1500543960: -nan
1500544020: -nan
1500544080: -nan
1500544140: -nan
1500544200: -nan
1500544260: -nan
1500544320: -nan
1500544380: -nan
1500544440: -nan
1500544500: -nan
1500544560: -nan
1500544620: -nan
1500544680: -nan
1500544740: -nan
1500544800: -nan
1500544860: -nan
1500544920: -nan
1500544980: -nan
1500545040: -nan
1500545100: -nan
1500545160: -nan
1500545220: -nan
1500545280: -nan
