                              1

1500538080: 4.9500000000e+00
1500538140: 5.1270000000e+00
1500538200: 5.4400000000e+00
1500538260: 5.5300000000e+00
1500538320: 5.8700000000e+00
1500538380: 6.2000000000e+00
1500538440: 6.9400000000e+00
1500538500: 7.0100000000e+00
1500538560: 7.2700000000e+00
1500538620: 7.6100000000e+00
1500538680: 7.8000000000e+00
1500538740: 7.7000000000e+00
1500538800: 7.6200000000e+00
1500538860: 7.6300000000e+00
1500538920: 7.7800000000e+00
1500538980: 7.9000000000e+00
1500539040: 7.9000000000e+00
1500539100: 7.9400000000e+00
1500539160: 7.9800000000e+00
1500539220: 8.0300000000e+00
1500539280: 7.9000000000e+00
1500539340: 8.0200000000e+00
1500539400: 8.5300000000e+00
1500539460: 8.9700000000e+00
1500539520: 9.0900000000e+00
1500539580: 9.1600000000e+00
1500539640: 9.0900000000e+00
1500539700: 9.3600000000e+00
1500539760: 9.2600000000e+00
1500539820: 9.0800000000e+00
1500539880: 9.0900000000e+00
1500539940: 8.9700000000e+00
1500540000: 9.0300000000e+00
1500540060: 9.2900000000e+00
1500540120: 9.3900000000e+00
1500540180: 9.4000000000e+00
1500540240: 9.6300000000e+00
1500540300: 9.4200000000e+00
1500540360: 9.2700000000e+00
1500540420: 9.4600000000e+00
1500540480: 9.5200000000e+00
1500540540: 9.4600000000e+00
1500540600: 9.4600000000e+00
1500540660: 9.2700000000e+00
1500540720: 9.2300000000e+00
1500540780: 9.0500000000e+00
1500540840: 8.9100000000e+00
1500540900: 8.6800000000e+00
1500540960: 8.5400000000e+00
1500541020: 8.8200000000e+00
1500541080: 9.1200000000e+00
1500541140: 9.1800000000e+00
1500541200: 9.1600000000e+00
1500541260: 9.2700000000e+00
1500541320: 9.1600000000e+00
1500541380: 8.9800000000e+00
1500541440: 9.1800000000e+00
1500541500: 9.5900000000e+00
1500541560: 9.8200000000e+00
1500541620: 9.5700000000e+00
1500541680: 9.5798333333e+00
1500541740: 9.3400000000e+00
1500541800: 8.9900000000e+00
1500541860: 8.8300000000e+00
1500541920: 8.9600000000e+00
1500541980: 8.9400000000e+00
1500542040: 9.0000000000e+00
1500542100: 8.8200000000e+00
1500542160: 8.7900000000e+00
1500542220: 9.0700000000e+00
1500542280: 8.9200000000e+00
1500542340: 9.0400000000e+00
1500542400: 9.0100000000e+00
1500542460: 8.9100000000e+00
1500542520: 9.0900000000e+00
1500542580: 9.2400000000e+00
1500542640: 9.2700000000e+00
1500542700: 9.3900000000e+00
1500542760: 9.7600000000e+00
1500542820: 9.5600000000e+00
1500542880: 9.4700000000e+00
1500542940: 9.6600000000e+00
1500543000: 9.7400000000e+00
1500543060: 1.0110000000e+01
1500543120: 1.0100000000e+01
1500543180: 9.9000000000e+00
1500543240: 9.8100000000e+00
1500543300: 9.7200000000e+00
1500543360: 9.4500000000e+00
1500543420: 9.4600000000e+00
1500543480: 9.8600000000e+00
1500543540: 9.7700000000e+00
1500543600: 9.8300000000e+00
1500543660: 1.0040000000e+01
1500543720: 9.7900000000e+00
1500543780: -nan
1500543840: -nan
1500543900: -nan
1500543960: -nan
1500544020: -nan
1500544080: -nan
1500544140: -nan
1500544200: -nan
1500544260: -nan
1500544320: -nan
1500544380: -nan
1500544440: -nan
1500544500: -nan
1500544560: -nan
1500544620: -nan
1500544680: -nan
1500544740: -nan
1500544800: -nan
1500544860: -nan
1500544920: -nan
1500544980: -nan
1500545040: -nan
1500545100: -nan
1500545160: -nan
1500545220: -nan
1500545280: -nan
