                              1

1500538080: 4.9400000000e+00
1500538140: 5.5033333333e+00
1500538200: 5.8133333333e+00
1500538260: 5.8116666667e+00
1500538320: 6.0050000000e+00
1500538380: 6.2033333333e+00
1500538440: 6.3733333333e+00
1500538500: 6.7116666667e+00
1500538560: 7.0816666667e+00
1500538620: 7.1500000000e+00
1500538680: 7.2450000000e+00
1500538740: 7.5050000000e+00
1500538800: 7.6883333333e+00
1500538860: 7.8350000000e+00
1500538920: 8.3316666667e+00
1500538980: 8.2333333333e+00
1500539040: 8.4350000000e+00
1500539100: 8.3333333333e+00
1500539160: 8.2166666667e+00
1500539220: 8.2866666667e+00
1500539280: 8.2300000000e+00
1500539340: 8.2633333333e+00
1500539400: 8.1916666667e+00
1500539460: 8.2466666667e+00
1500539520: 8.2850000000e+00
1500539580: 8.5533333333e+00
1500539640: 8.5250000000e+00
1500539700: 8.6000000000e+00
1500539760: 8.8466666667e+00
1500539820: 8.7783333333e+00
1500539880: 8.5200000000e+00
1500539940: 8.5583333333e+00
1500540000: 8.7616666667e+00
1500540060: 8.8416666667e+00
1500540120: 8.9633333333e+00
1500540180: 9.0266666667e+00
1500540240: 8.9916666667e+00
1500540300: 8.8900000000e+00
1500540360: 8.8583333333e+00
1500540420: 8.9033333333e+00
1500540480: 8.6666666667e+00
1500540540: 8.6233333333e+00
1500540600: 8.5166666667e+00
1500540660: 8.6050000000e+00
1500540720: 8.4450000000e+00
1500540780: 8.7433333333e+00
1500540840: 8.5616666667e+00
1500540900: 8.3033333333e+00
1500540960: 8.2183333333e+00
1500541020: 8.2300000000e+00
1500541080: 8.3316666667e+00
1500541140: 8.3866666667e+00
1500541200: 8.5900000000e+00
1500541260: 8.4166666667e+00
1500541320: 8.2516666667e+00
1500541380: 8.0350000000e+00
1500541440: 8.1816666667e+00
1500541500: 8.3300000000e+00
1500541560: 8.5633333333e+00
1500541620: 8.7766666667e+00
1500541680: 9.0200000000e+00
1500541740: 9.0100000000e+00
1500541800: 8.7016666667e+00
1500541860: 8.6566666667e+00
1500541920: 8.6300000000e+00
1500541980: 8.5700000000e+00
1500542040: 8.5316666667e+00
1500542100: 8.5966666667e+00
1500542160: 8.5950000000e+00
1500542220: 8.4700000000e+00
1500542280: 8.7433333333e+00
1500542340: 8.8383333333e+00
1500542400: 8.8016666667e+00
1500542460: 9.1783333333e+00
1500542520: 9.2883333333e+00
1500542580: 9.4450000000e+00
1500542640: 9.8066666667e+00
1500542700: 1.0018333333e+01
1500542760: 1.0143333333e+01
1500542820: 1.0046666667e+01
1500542880: 9.9750000000e+00
1500542940: 9.9466666667e+00
1500543000: 9.9250000000e+00
1500543060: 9.9050000000e+00
1500543120: 9.9400000000e+00
1500543180: 9.9966666667e+00
1500543240: 1.0015000000e+01
1500543300: 9.9116666667e+00
1500543360: 9.8033333333e+00
1500543420: 9.9300000000e+00
1500543480: 9.7816666667e+00
1500543540: 1.0126666667e+01
1500543600: 1.0569000000e+01
1500543660: 1.0610000000e+01
1500543720: 1.0516666667e+01
1500543780: 1.0281666667e+01
1500543840: 1.0173333333e+01
1500543900: 1.0048333333e+01
1500543960: 9.8616666667e+00
1500544020: 9.9265000000e+00
1500544080: 9.6916666667e+00
1500544140: 9.7800000000e+00
1500544200: 9.9600000000e+00
1500544260: 1.0046666667e+01
1500544320: 9.7200000000e+00
1500544380: 9.6783333333e+00
1500544440: 9.7350000000e+00
1500544500: -nan
1500544560: -nan
1500544620: -nan
1500544680: -nan
1500544740: -nan
1500544800: -nan
1500544860: -nan
1500544920: -nan
1500544980: -nan
1500545040: -nan
1500545100: -nan
1500545160: -nan
1500545220: -nan
1500545280: -nan
