                              1

1500538080: 4.1456666667e+00
1500538140: 4.4013333333e+00
1500538200: 4.7386666667e+00
1500538260: 4.7113333333e+00
1500538320: 4.7680000000e+00
1500538380: 5.1180000000e+00
1500538440: 5.4103333333e+00
1500538500: 6.0386666667e+00
1500538560: 6.3306666667e+00
1500538620: 6.7556666667e+00
1500538680: 6.6443333333e+00
1500538740: 7.1620000000e+00
1500538800: 7.5183333333e+00
1500538860: 7.8393333333e+00
1500538920: 7.8790000000e+00
1500538980: 8.0733333333e+00
1500539040: 8.2056666667e+00
1500539100: 8.2003333333e+00
1500539160: 8.3063333333e+00
1500539220: 8.0973333333e+00
1500539280: 8.0803333333e+00
1500539340: 8.0800000000e+00
1500539400: 8.2250000000e+00
1500539460: 8.4523333333e+00
1500539520: 8.4986666667e+00
1500539580: 8.8286666667e+00
1500539640: 8.9753333333e+00
1500539700: 9.0380000000e+00
1500539760: 9.0593333333e+00
1500539820: 8.8570000000e+00
1500539880: 8.7146666667e+00
1500539940: 8.9613333333e+00
1500540000: 9.0763333333e+00
1500540060: 9.2035000000e+00
1500540120: 9.0263333333e+00
1500540180: 9.1166666667e+00
1500540240: 9.1200000000e+00
1500540300: 8.8493333333e+00
1500540360: 8.9173333333e+00
1500540420: 8.7653333333e+00
1500540480: 8.7406666667e+00
1500540540: 8.8463333333e+00
1500540600: 8.7340000000e+00
1500540660: 8.8556666667e+00
1500540720: 8.7440000000e+00
1500540780: 8.6046666667e+00
1500540840: 8.4356666667e+00
1500540900: 8.1496666667e+00
1500540960: 8.2946666667e+00
1500541020: 8.5320000000e+00
1500541080: 8.4916666667e+00
1500541140: 8.3836666667e+00
1500541200: 8.1770000000e+00
1500541260: 8.0443333333e+00
1500541320: 7.9240000000e+00
1500541380: 8.1713333333e+00
1500541440: 8.1993333333e+00
1500541500: 8.3160000000e+00
1500541560: 8.6293333333e+00
1500541620: 8.4950000000e+00
1500541680: 8.3740000000e+00
1500541740: 8.4086666667e+00
1500541800: 8.1490000000e+00
1500541860: -nan
1500541920: -nan
1500541980: -nan
1500542040: -nan
1500542100: -nan
1500542160: -nan
1500542220: -nan
1500542280: -nan
1500542340: -nan
1500542400: -nan
1500542460: -nan
1500542520: -nan
1500542580: -nan
1500542640: -nan
1500542700: -nan
1500542760: -nan
1500542820: -nan
1500542880: -nan
1500542940: -nan
1500543000: -nan
1500543060: -nan
1500543120: -nan
1500543180: -nan
1500543240: -nan
1500543300: -nan
1500543360: -nan
1500543420: -nan
1500543480: -nan
1500543540: -nan
1500543600: -nan
1500543660: -nan
1500543720: -nan
1500543780: -nan
1500543840: -nan
1500543900: -nan
1500543960: -nan
1500544020: -nan
1500544080: -nan
1500544140: -nan
1500544200: -nan
1500544260: -nan
1500544320: -nan
1500544380: -nan
1500544440: -nan
1500544500: -nan
1500544560: -nan
1500544620: -nan
1500544680: -nan
1500544740: -nan
1500544800: -nan
1500544860: -nan
1500544920: -nan
1500544980: -nan
1500545040: -nan
1500545100: -nan
1500545160: -nan
1500545220: -nan
1500545280: -nan
